Filename,Instance_Number,Objective_Index,Additional infos_gap,Additional infos_computation_time,Additional infos_obj,Additional infos_solved,Metrics_Envy Freeness,Metrics_Relative Mean Deviation,Metrics_Gini Coefficient,Metrics_Jain's Fairness Index,Metrics_Energy Shortfall,Metrics_Relative Range,Metrics_Coefficient of Variation,Metrics_Hoover Index,Metrics_Utility
solution_39_obj=3_h_lns_mip.log,39,3,2.347634,3602.526175,-22896.950104,0,0.17395104523193358,1.3842067550127457,0.7326665758373706,0.2821222932647453,948.7844309999991,4.1778864001281235,1.5951683740511855,0.6921033775063729,0.23504761983005829
solution_40_obj=9_h_lns_mip.log,40,9,0.0,88.9309,46.814286,1,0.0,0.0,0.0,1.0,3604.6997910000005,0.0,0.0,0.0,1.0
solution_18_obj=0_h_lns_mip.log,18,0,0.057778,3634.193884,51.787687,0,0.18500186597515397,1.29670782658013,0.7108907227464673,0.30658868719430704,2893.9580319999986,3.859394771087169,1.5038945950178666,0.6483539132900651,0.25893833011930534
solution_36_obj=8_h_lns_mip.log,36,8,0.098334,3611.193996,0.179818,0,0.1249845033147113,0.8239609501003573,0.5273110278956631,0.5275102265953265,1228.6193709999989,2.8254656744995463,0.9464131473261544,0.41198047505017865,0.23465213457672565
solution_43_obj=5_h_lns_mip.log,43,5,0.26666,3614.715848,0.254493,0,0.022885528248198773,0.06246071221814687,0.050996303070052165,0.9807237588057597,3312.334984,1.4330249834220454,0.14019671176352225,0.031230356109073435,0.44652453680176746
solution_8_obj=0_h_lns_mip.log,8,0,0.051372,3609.728344,15.424643,0,0.1238404216011479,1.4212351903421614,0.7948449031810119,0.20615378652674643,863.1730869999991,6.477785370838928,1.9623322021684397,0.7106175951710807,0.1542464660646066
solution_12_obj=7_h_lns_mip.log,12,7,0.577214,3610.99394,0.262842,0,0.07068930571621343,0.22144981547249531,0.16182900408718576,0.9089462445568632,3298.466814999999,1.9448603838174099,0.3165044580184734,0.11072490773624766,0.43463073621672577
solution_32_obj=7_h_lns_mip.log,32,7,0.613076,3605.245973,0.170723,0,0.03156244516609259,0.15117315664506925,0.10554233349247062,0.954612844674592,1071.7498049999992,1.7003003066296545,0.21804837030234978,0.07558657832253461,0.29605959694515077
solution_1_obj=3_h_lns_mip.log,1,3,2.614339,3601.431982,-21697.682714,0,0.15707062909512412,1.4610553283003922,0.766356061272838,0.2428362562462602,805.4651429999991,4.816414961532721,1.76578629005091,0.730527664150196,0.2029081919778962
solution_33_obj=9_h_lns_mip.log,33,9,0.0,81.873431,44.442857,1,0.0,0.0,0.0,1.0,3422.100065999999,0.0,0.0,0.0,1.0
solution_6_obj=4_h_lns_mip.log,6,4,0.551834,3603.305942,0.619455,0,0.02377316787234648,0.06261904765055668,0.04047899525253065,0.9928038945977979,1946.880529999999,0.4051723708971221,0.08513674106291556,0.03130952382527834,0.5814234282940077
solution_44_obj=5_h_lns_mip.log,44,5,0.339242,3616.178531,0.290101,0,0.05086712067567074,0.1422528146996601,0.11556722474144741,0.9319502854198471,3350.9207130000013,2.048729942726314,0.27021955917479573,0.07112640734983007,0.437951029675814
solution_48_obj=9_h_lns_mip.log,48,9,0.0,600.554756,95.628571,1,0.0,0.0,0.0,1.0,7363.399505000001,0.0,0.0,0.0,1.0
solution_6_obj=5_h_lns_mip.log,6,5,0.410338,3602.493837,0.233703,0,0.03558192668765093,0.12393832657825059,0.10256034198217134,0.9421480638380615,1205.1213299999993,1.796673219496895,0.24779889714291395,0.06196916328912529,0.3434671408067115
solution_2_obj=8_h_lns_mip.log,2,8,0.110074,3609.102627,0.221053,0,0.13410677339268026,0.7023112336664589,0.4310576344399391,0.6262374754808545,1548.0541859999994,2.516311857029163,0.7725531197049833,0.35115561683322943,0.30799989386860444
solution_6_obj=1_h_lns_mip.log,6,1,0.063596,3601.618824,6.149576,0,0.07840365607206429,0.5623587904992071,0.37560759275437594,0.6944310468710408,864.8832499999994,2.7951867984127032,0.663345899018144,0.28117939524960356,0.20665082657714526
solution_38_obj=8_h_lns_mip.log,38,8,0.112691,3611.957997,0.170603,0,0.11815825816372533,0.7561767198071644,0.5244480498252464,0.49519863232474065,1101.4758789999996,4.334741263675903,1.0096492875794154,0.37808835990358214,0.22304721243804113
solution_41_obj=8_h_lns_mip.log,41,8,0.073636,3624.540549,0.199473,0,0.1434296398931348,0.8543536728452151,0.5585265418785543,0.4802360928201759,2557.9419459999986,3.8515132414381044,1.040340871386766,0.42717683642260756,0.25551604264618405
solution_34_obj=0_h_lns_mip.log,34,0,0.035878,3606.217086,20.102778,0,0.15132946220364313,1.3132722280960416,0.7452512362686594,0.2733990286095569,1149.363795999999,4.969122837829993,1.630232337005095,0.6566361140480208,0.20102773439425664
solution_36_obj=2_h_lns_mip.log,36,2,3.604024,3601.663964,-398.32197,0,0.17629851210791128,1.434563996700655,0.7439541931874666,0.26511834728728584,1300.6185709999986,4.194239058135087,1.6649025194647598,0.7172819983503275,0.2346052063219568
solution_47_obj=9_h_lns_mip.log,47,9,0.0,552.351013,90.457143,1,0.0,0.0,0.0,1.0,6965.199625999998,0.0,0.0,0.0,1.0
solution_16_obj=5_h_lns_mip.log,16,5,0.333271,3617.392436,0.324375,0,0.07224447262359461,0.19923685464184634,0.15991381847246622,0.9076640673247168,3441.485907999999,2.0831538985148743,0.3189501411657604,0.09961842732092317,0.4495124370559237
solution_9_obj=6_h_lns_mip.log,9,6,0.53628,3604.29288,0.274277,0,0.07598674107567628,0.3876579292025481,0.2733332880486484,0.7992373909645604,1039.3197359999995,1.9190893474578252,0.5011912944032157,0.19382896460127405,0.275220315103117
solution_41_obj=2_h_lns_mip.log,41,2,4.113072,3605.493403,-702.534021,0,0.19702023264661161,1.2754529489847943,0.6772580359847805,0.3427574067177431,2715.0006659999976,3.3914108693450875,1.3847437897846036,0.6377264744923972,0.28945412393420844
solution_3_obj=2_h_lns_mip.log,3,2,3.417386,3601.568275,-411.752314,0,0.15494544791343148,1.4674196641390616,0.7680137420198195,0.24101953873755233,1038.1375339999993,4.919886208931032,1.774553807483424,0.7337098320695307,0.19973079261690865
solution_40_obj=8_h_lns_mip.log,40,8,0.0622,3610.261258,0.147193,0,0.11089760367797503,0.9432322387141153,0.598340780756369,0.4124420125966293,953.119950999999,5.272432765741819,1.1935590732356833,0.4716161193570577,0.18348845870477082
solution_34_obj=6_h_lns_mip.log,34,6,0.492147,3605.141984,0.306921,0,0.09484984348732307,0.4225536720552756,0.2896320263663463,0.77830367739449,1330.8687559999994,1.8759763405368723,0.5337092175198448,0.21127683602763783,0.3242091222801337
solution_9_obj=1_h_lns_mip.log,9,1,0.206318,3601.859914,6.321461,0,0.0941689944584147,0.7770583156747503,0.4928324286180214,0.5660703274678108,860.1589359999994,2.834853637994116,0.8755369497970448,0.3885291578373751,0.18916633545250736
solution_1_obj=2_h_lns_mip.log,1,2,3.175799,3601.382081,-423.114676,0,0.12582494475345687,1.5615543224415473,0.814052244237352,0.1761791354806124,749.8750629999989,6.329911029829712,2.162415552297202,0.7807771612207738,0.15302051703404415
solution_12_obj=6_h_lns_mip.log,12,6,0.419272,3625.366639,0.322925,0,0.1001050447746507,0.3421422589435823,0.2545441534457027,0.820602737916592,3022.525694999999,2.394515229505469,0.4675643866661701,0.17107112947179115,0.39130546980731795
solution_1_obj=5_h_lns_mip.log,1,5,0.414166,3601.995001,0.242555,0,0.033151622026966164,0.09398367485570706,0.08391167884380392,0.9543315251723522,1352.3241829999993,1.7358600572143479,0.2187553175367237,0.04699183742785353,0.39112679258615635
solution_34_obj=3_h_lns_mip.log,34,3,1.442905,3601.714374,-30496.374403,0,0.20085702566900898,1.2255146467020843,0.6668281915311727,0.3619846375239481,1245.4743559999995,3.300082654408218,1.3276099486053445,0.6127573233510423,0.2982004329416904
solution_8_obj=7_h_lns_mip.log,8,7,0.639414,3603.508569,0.201363,0,0.042004872693414096,0.17567139527317335,0.11854080481341493,0.9480802595092892,1268.3778869999992,1.7490089055206552,0.2340150046521079,0.08783569763658666,0.3508059864443737
solution_37_obj=2_h_lns_mip.log,37,2,3.645116,3601.336144,-421.1459,0,0.14885166254853824,1.507184002402159,0.7850044785566676,0.21945074414299617,1032.400396999999,5.242233207851206,1.8859563118331788,0.7535920012010794,0.18772268177883503
solution_19_obj=9_h_lns_mip.log,19,9,0.0,758.096065,99.414286,1,0.0,0.0,0.0,1.0,7654.899791,0.0,0.0,0.0,1.0
solution_18_obj=5_h_lns_mip.log,18,5,0.354008,3628.022149,0.321811,0,0.06008037240862458,0.14718192809002198,0.12041712846007188,0.9277834592241985,3800.1433119999983,1.9930186876120821,0.2789941056843364,0.07359096404501099,0.4964407581468145
solution_7_obj=8_h_lns_mip.log,7,8,0.07274,3608.888881,0.196076,0,0.1513055897788534,1.0085955433710483,0.6219413807743591,0.4148270110262447,1231.587188999999,4.085546069505171,1.187705101860951,0.5042977716855241,0.24084670760219076
solution_32_obj=5_h_lns_mip.log,32,5,0.405973,3602.091367,0.20639,0,0.01820262331032865,0.06596261461615226,0.051959861082436824,0.9877516832628285,1225.4597249999997,0.7585159128744319,0.1113561776170266,0.03298130730807613,0.3468176531233332
solution_16_obj=4_h_lns_mip.log,16,4,0.483374,3620.070962,0.89318,0,0.1585372362490631,0.8779722051707072,0.5239172388931954,0.5293464080043713,2729.531027999999,2.9629723083017714,0.9429327144264622,0.4389861025853536,0.30108677164557557
solution_2_obj=1_h_lns_mip.log,2,1,0.140097,3603.536372,14.960783,0,0.1254927212947241,0.5775115181428903,0.3872897674403867,0.6878301998800367,1550.0634659999996,2.454355491976998,0.6736818130340722,0.28875575907144513,0.3207877009064044
solution_33_obj=5_h_lns_mip.log,33,5,0.468,3603.279406,0.229082,0,0.02349570094807089,0.06716093888234911,0.059489803856445506,0.9699870987135029,1368.2810259999992,1.6769838019737848,0.17590209458279965,0.03358046944117456,0.3910038768109025
solution_46_obj=1_h_lns_mip.log,46,1,0.095893,3609.949233,25.454078,0,0.11730175726611687,0.5962811650609945,0.39916613989714567,0.6717698057282562,2620.488828999997,2.757771092551056,0.6990029765897087,0.29814058253049724,0.29239766807339895
solution_3_obj=7_h_lns_mip.log,3,7,0.585201,3602.656305,0.193233,0,0.04157564275017322,0.17820268543459233,0.12684369618533017,0.9380261287514646,1225.6703339999992,1.863105873700528,0.25703771089699057,0.08910134271729617,0.3244929591339962
solution_32_obj=6_h_lns_mip.log,32,6,0.56853,3604.163428,0.276325,0,0.0770258732458221,0.4181324090047425,0.2863153557515229,0.785817074320842,987.3600449999992,1.8983904665235416,0.5220735522448607,0.20906620450237123,0.2663343512023923
solution_32_obj=4_h_lns_mip.log,32,4,0.621853,3603.518744,0.66512,0,0.04080720818026566,0.09985125678906757,0.06734880339835488,0.9781321283970217,2116.910285,0.7040233254552095,0.14952179273373326,0.04992562839453379,0.5998493523264237
solution_43_obj=9_h_lns_mip.log,43,9,0.0,541.83238,94.471429,1,0.0,0.0,0.0,1.0,7274.300263999999,0.0,0.0,0.0,1.0
solution_35_obj=5_h_lns_mip.log,35,5,0.430402,3603.561939,0.25861,0,0.03126711518433212,0.09395202222451865,0.07313194621887875,0.967866357514197,1601.3255999999994,1.379788187177715,0.1822100308248459,0.046976011112259325,0.4232684296387286
solution_35_obj=3_h_lns_mip.log,35,3,1.188119,3604.205842,-27367.444409,0,0.18499993756532143,1.3325700507938596,0.7045664237021954,0.3153909960263366,1201.143999999999,3.7755279019592893,1.4733185536674966,0.6662850253969298,0.25994701426061984
solution_44_obj=4_h_lns_mip.log,44,4,0.534125,3619.518351,0.850654,0,0.1499213543676397,0.7747097612415371,0.4858583930110541,0.574611265469361,2803.3919129999986,2.767133862041101,0.8604109406654754,0.38735488062076856,0.3070272115118276
solution_39_obj=6_h_lns_mip.log,39,6,0.554384,3604.109101,0.289606,0,0.08348612116974927,0.4658570834059539,0.3245399970044314,0.7505907562216202,983.2770709999986,2.2195400875918114,0.5764407399220046,0.23292854170297694,0.2546720303227309
solution_39_obj=4_h_lns_mip.log,39,4,0.486503,3605.463537,0.583403,0,0.026598061488493214,0.07515477602390246,0.04924525429998353,0.9910579143490973,1925.9642709999991,0.4409218115148342,0.09498825198571892,0.03757738801195123,0.5347130652063043
solution_31_obj=8_h_lns_mip.log,31,8,0.066123,3607.194675,0.106071,0,0.09255133744458245,1.2991588289732234,0.7661657563525379,0.2181362165461492,628.1151449999994,8.220339478448121,1.8932225132353597,0.6495794144866117,0.11959007996694818
solution_7_obj=1_h_lns_mip.log,7,1,0.139584,3601.658472,12.051103,0,0.12031554686861502,0.6554342411178223,0.4295824841157137,0.6379607615225963,1231.587188999999,2.9927001242587323,0.7533223238861815,0.3277171205589111,0.27727478611033
solution_42_obj=7_h_lns_mip.log,42,7,0.56412,3614.13345,0.27819,0,0.09243803242707649,0.3119475746971545,0.22254244350492747,0.8569167069834314,3203.092745999998,2.0510954016458327,0.4086252114070849,0.15597378734857723,0.41329573278861664
solution_14_obj=7_h_lns_mip.log,14,7,0.567634,3615.541621,0.290872,0,0.10052484804038941,0.32833956302210715,0.23298603405585402,0.8475622962546,3295.3266149999995,2.252275339412097,0.4240922973756077,0.16416978151105355,0.4293056629145892
solution_15_obj=5_h_lns_mip.log,15,5,0.471759,3619.76482,0.383563,0,0.10855494803062599,0.32443646076928095,0.24399096406073933,0.8309607626956895,3401.7446259999992,1.9450052666449724,0.4510279997528582,0.16221823038464048,0.44268923526029036
solution_43_obj=0_h_lns_mip.log,43,0,0.03605,3629.491888,46.490221,0,0.16897521475973384,1.287111881434334,0.7232930652715879,0.2972012096819659,2665.681703999997,4.299161505282855,1.5377658648709465,0.643555940717167,0.23245119683651896
solution_14_obj=0_h_lns_mip.log,14,0,0.0409,3630.410606,52.505961,0,0.18344715803705744,1.226492103525296,0.6952731657323586,0.32960499520501174,2767.555734999998,3.80595085678581,1.4261607911341192,0.613246051762648,0.26252979583155533
solution_10_obj=7_h_lns_mip.log,10,7,0.525346,3604.539508,0.181657,0,0.03655289188531574,0.15977350311271857,0.11509976089692572,0.9510862935747687,1211.1813629999995,1.6048848337092405,0.2267802996697705,0.07988675155635928,0.31439998384418233
solution_44_obj=2_h_lns_mip.log,44,2,4.091216,3607.176215,-691.059129,0,0.20723092220565523,1.243374992055017,0.6557621584717621,0.36426765014682455,2916.246472999997,3.121970969644949,1.3210731128242514,0.6216874960275085,0.31443529476472837
solution_31_obj=0_h_lns_mip.log,31,0,0.060966,3603.564493,11.546655,0,0.09698588966960801,1.5251454793732482,0.8315481639627593,0.15179329669811145,624.0965849999994,8.654843264706887,2.3638752499081135,0.7625727396866241,0.11546658983088298
solution_18_obj=1_h_lns_mip.log,18,1,0.133995,3630.559612,29.752149,0,0.12759597913890391,0.5971982497844335,0.4027165355529249,0.6680869077642698,2892.6185119999977,2.817803590878717,0.7048483884634772,0.29859912489221674,0.31525400135084714
solution_9_obj=3_h_lns_mip.log,9,3,1.934843,3601.881945,-29110.147634,0,0.1602239681588963,1.4257170436577788,0.7550268044667299,0.2602027770878948,913.7397359999995,4.580414167721741,1.6861662203764025,0.7128585218288894,0.210087545950557
solution_37_obj=0_h_lns_mip.log,37,0,0.07312,3605.366241,15.753956,0,0.12313190107310865,1.3675337480378766,0.773776819070625,0.23142464101713034,908.4947969999993,6.343449438764586,1.822377853251388,0.6837668740189383,0.15753971824690968
solution_10_obj=1_h_lns_mip.log,10,1,0.145446,3602.524128,7.454866,0,0.09317577165391407,0.6418297419035385,0.4189434464141601,0.6503181091044544,1009.248722999999,2.46285341840562,0.733286428213753,0.32091487095176924,0.22018249653244099
solution_32_obj=3_h_lns_mip.log,32,3,1.688455,3602.491843,-29252.620525,0,0.160454966731332,1.4556569462649536,0.764726331771516,0.24490363354569367,865.4637249999987,4.72582716371529,1.7559153520087025,0.7278284731324769,0.20772191366293793
solution_18_obj=6_h_lns_mip.log,18,6,0.355466,3625.237493,0.318009,0,0.0946839554247028,0.31358147238603407,0.23482690751769447,0.8416097208887497,3168.5596319999963,2.333521197872741,0.4338193212372706,0.15679073619301703,0.4011913994160997
solution_8_obj=9_h_lns_mip.log,8,9,0.0,91.295917,45.028571,1,0.0,0.0,0.0,1.0,3467.199967000001,0.0,0.0,0.0,1.0
solution_15_obj=6_h_lns_mip.log,15,6,0.428275,3622.076425,0.331702,0,0.10500828797260618,0.3617914632019198,0.25725181050501933,0.8190202118819917,3204.165425999998,2.416924216898335,0.47007562049335855,0.18089573160095992,0.4061516470093207
solution_5_obj=3_h_lns_mip.log,5,3,1.555787,3601.672659,-27587.933648,0,0.20726884352831138,1.2491064659891788,0.661759241875955,0.35935433684708035,1363.0994159999996,3.1669651266706063,1.3352036166102503,0.6245532329945895,0.3100767501355008
solution_33_obj=6_h_lns_mip.log,33,6,0.562402,3604.441539,0.273085,0,0.07356585534334956,0.4547238810198583,0.3148611249385055,0.7567357203454934,906.1466259999991,2.5676069788229356,0.5669791051467005,0.22736194050992914,0.23130895185660208
solution_31_obj=2_h_lns_mip.log,31,2,2.302749,3601.006131,-431.218669,0,0.11381996828134525,1.5752604545008175,0.8246508537091227,0.16538404794472247,696.4306649999993,7.1942569541445325,2.2464488362196233,0.7876302272504088,0.13664178978498717
solution_45_obj=0_h_lns_mip.log,45,0,0.076961,3624.497876,47.640011,0,0.17231877581672161,1.3018626410676484,0.7198035612024812,0.29626169675960257,2539.796573999997,4.195929012883444,1.5412313766513612,0.6509313205338242,0.23819996340557906
solution_14_obj=6_h_lns_mip.log,14,6,0.390682,3626.336064,0.32318,0,0.09874259275611047,0.33470190101752184,0.24446251144185438,0.8317438941862463,3132.909814999999,2.2601134946414803,0.449770125941619,0.16735095050876092,0.4018975310891323
solution_34_obj=5_h_lns_mip.log,34,5,0.436239,3604.208613,0.276544,0,0.03235925807921739,0.0795084310174142,0.0676458306489418,0.9728198605890103,1825.1516359999991,1.2531693131815647,0.1671512488836358,0.03975421550870711,0.47357930549598654
solution_16_obj=1_h_lns_mip.log,16,1,0.113662,3606.796956,28.715101,0,0.13272468146097396,0.669156543055348,0.44086659248649435,0.6249636605974666,2690.0151879999994,3.019247436866945,0.7746567202831091,0.334578271527674,0.29954879844454085
solution_46_obj=9_h_lns_mip.log,46,9,0.0,503.997579,89.457143,1,0.0,0.0,0.0,1.0,6888.199549000002,0.0,0.0,0.0,1.0
solution_10_obj=8_h_lns_mip.log,10,8,0.066639,3611.517007,0.154717,0,0.11532245075408828,0.9197667250939904,0.5881631733379233,0.4400243321618406,1012.2626429999991,4.8216860828636845,1.1280964484577773,0.4598833625469952,0.19411148372078088
solution_2_obj=5_h_lns_mip.log,2,5,0.195889,3604.339474,0.244693,0,0.02598828396406304,0.07648731364449071,0.062311363068892185,0.9710168881046912,1677.9876259999999,1.399387041199335,0.17276633289910154,0.038243656822245356,0.41290063091665175
solution_9_obj=4_h_lns_mip.log,9,4,0.618372,3605.986224,0.684691,0,0.031969742226203045,0.07569082651303248,0.04974971836842626,0.9850881915277853,2223.455416,0.7272960329655132,0.12303469639701078,0.03784541325651624,0.6361854065093121
solution_34_obj=8_h_lns_mip.log,34,8,0.118664,3609.527974,0.176877,0,0.14122321877459973,1.0663078333093434,0.6578365469220793,0.3677594793010567,1154.721875999999,4.5493754785408065,1.3111706687503724,0.5331539166546717,0.21253149774212005
solution_44_obj=7_h_lns_mip.log,44,7,0.504861,3619.510428,0.237826,0,0.05504175748482862,0.18394304195251163,0.132259050496445,0.9384336796379987,3154.3461530000004,1.723919413174128,0.25613551815648306,0.09197152097625581,0.41408545193568314
solution_4_obj=0_h_lns_mip.log,4,0,0.025587,3605.957863,18.224766,0,0.1413377795765232,1.369262275540447,0.7677709002920329,0.2438990098907471,1076.625633999999,5.483448081799821,1.7606980560411234,0.6846311377702236,0.18224759720319575
solution_44_obj=8_h_lns_mip.log,44,8,0.093258,3629.247696,0.209469,0,0.14301271066087468,0.7845797698877529,0.5157105696994251,0.5308354410845513,2737.0856729999955,3.5664932017607955,0.940118596382916,0.39228988494387645,0.27592540364356927
solution_46_obj=4_h_lns_mip.log,46,4,0.532254,3617.158828,0.831588,0,0.1552759532137008,0.8501119284962395,0.5164368624635506,0.5394110675830063,2705.213468999997,2.7769471838626267,0.9240528747979035,0.42505596424811976,0.29916449556026165
solution_6_obj=2_h_lns_mip.log,6,2,3.174249,3601.69483,-408.055309,0,0.1480190137959788,1.478899769553388,0.7813514909302559,0.22313480242306866,944.9195699999991,5.233066599889064,1.8659034888491133,0.739449884776694,0.18754533057018327
solution_5_obj=7_h_lns_mip.log,5,7,0.519175,3602.354538,0.237466,0,0.05451973675675817,0.19420292547144824,0.13372701739676615,0.9286846642846319,1539.2462959999998,2.025888642739306,0.27711327342792064,0.09710146273572412,0.4036173126410882
solution_43_obj=2_h_lns_mip.log,43,2,3.639721,3610.05982,-716.500477,0,0.1933876486494577,1.300682968977024,0.686613287027896,0.33262428432657193,2793.9407439999986,3.509568407795252,1.4164727474470498,0.650341484488512,0.2802461211304702
solution_5_obj=9_h_lns_mip.log,5,9,0.0,103.359782,47.228571,1,0.0,0.0,0.0,1.0,3636.5997359999983,0.0,0.0,0.0,1.0
